ID,title,URL,text
33504731,Finley (YC W21) is a B2B fintech hiring across all teams (US remote),https://www.finleycms.com/careers/,
33494628,Motion (YC W20) Is Hiring Full Stack Engineers,https://jobs.ashbyhq.com/motion?utm_source=hn,
33491702,"Skio (YC S20) is hiring – subscriptions for Shopify, easy ReCharge migrations",https://skio.com/careers/,
33471759,"Lilia (egg freezing, YC W20) Is Hiring a Content/Growth Marketer",https://observant-hoodie-597.notion.site/Content-Growth-Marketer-at-Lilia-cb1caf11e7f542d38cd22b01213bad3c,
33465187,PolicyFly (YC W22) Is Hiring an Engineering Manager to Lead Our Solutions Team,https://www.ycombinator.com/companies/policyfly/jobs/aY0a0gg-engineering-manager-solutions,
33463101,Supabase (YC S20) Is Hiring a Lead API and Billing Engineer,https://boards.greenhouse.io/supabase/jobs/4652333004,
33457467,Release (YC W20) Is Hiring – Senior Software Engineer – Cloud Infrastructure,https://www.ycombinator.com/companies/release/jobs/DQlAy09AD-senior-software-engineer-cloud-infrastructure,
33453992,Evidence (YC S21) Is hiring engineers to build a web framework for data analysts,https://www.ycombinator.com/companies/evidence/jobs/Ppjfpfm-frontend-engineer,
33439432,Substack (YC W18) is hiring data analysts,https://boards.greenhouse.io/substack/jobs/4006118005?gh_src=hn,
33432159,"PhotoRoom Is Hiring a Senior Backend Engineer (Django, 200GB+ PSQL DB) in Paris",https://jobs.lever.co/photoroom/01f5cb22-695a-402a-a970-818a6c2d47a9?lever-origin=applied&lever-source%5B%5D=Hacker%20News,
33423941,EasyPost (YC S13) Is Hiring,https://www.easypost.com/careers,
33420039,Meticulous (YC S21) Is Hiring #3 Founding Engineer in London,,"Hey HN,<p>I&#x27;m Gabriel, founder of Meticulous.<p>Our mission is to make the world&#x27;s code safe, performant and reliable. We&#x27;re starting with a tool to catch JavaScript regressions in web applications with zero-effort from developers.<p>How it works: Insert a single line of JavaScript onto your site, and we record thousands of real user sessions. We then replay these sessions on new code to automatically catch bugs before they hit production. You can watch a 60-second demo at meticulous.ai.<p>We are a London-based YC company. Our engineering team previously worked at Dropbox, Opendoor and Google. We just raised $4m, and are backed by some of the best founders and technical leaders in Silicon Valley, including Guillermo Rauch (founder Vercel, author next.js), Jason Warner (CTO GitHub), Scott Belsky (CPO Adobe), Calvin French-Owen (founder Segment), Jared Friedman (YC partner and former CTO of Scribd) and a bunch of other incredible folks.<p>Catching JavaScript regressions is just the start. There is an entire category of products to build on top of replay. This ranges from automatic UI previews to revealing the performance impact of frontend code.<p>We want to change the way the world develops software, and influence software approaches for decades to come.<p>We are seeding a London office and hiring an onsite (few days per week) founding engineer to join our team of four.<p>You will have autonomy in building out this technology, but here are a few problems you might work on:<p>- Build a distributed system to concurrently replay thousands of sessions, such that a developer gets a result in seconds.<p>- Speed up the replay of sessions in a way that retains determinism.<p>- Derive algorithms to detect sessions that cover differing code paths and edge cases, and ignore sessions that are too similar.<p>- Help build out a team of world-class, highly collaborative, software engineers.<p>As founding engineer, you get to shape the company, and build the culture and technology from the ground up.<p>What we look for:<p>In a sentence: Technically brilliant, delightful to work with, combined with a self-awareness and strong desire to improve. We also want to make sure everyone is highly supportive of each other; we win as a team.<p>We&#x27;re currently only looking to bring on folks with senior level skill sets and 5+ years of industry experience. You should have strong web fundamentals and a deep love for software engineering. Maybe you enjoy programming books like Clean Code, Designing Data Intensive Applications, Pragmatic Programmer etc. or enjoy hacking on interesting side projects. You value transparency and candid feedback, and are motivated by a strong desire to become the best engineer you can be.<p>You can read about our values here <a href=""https:&#x2F;&#x2F;sumptuous-lungfish-609.notion.site&#x2F;Meticulous-values-ab2b90d3324447d58f0720481081c9a6"" rel=""nofollow"">https:&#x2F;&#x2F;sumptuous-lungfish-609.notion.site&#x2F;Meticulous-values...</a><p>You will be given the space and time to up-level yourself as an engineer in terms of conferences, reading, or whatever you think will be most valuable. We will also set you up with mentorship, if you desire it, from top engineering leaders (folks running 100-engineer organizations at the world&#x27;s leading tech companies).<p>If this sounds interesting, please reach out to me at gabe [at] meticulous [dot] ai with “HN” in the subject line and 2-3 sentences about what you find interesting about Meticulous and your resume&#x2F;LinkedIn&#x2F;GitHub."
33413051,Flexport (YC W14) Is Hiring Software Engineers,https://flexport.com/careers,
33404596,BuildZoom (YC W13) is hiring a growth associate,https://jobs.lever.co/buildzoom,
33398632,Charge Robotics (YC S21) is hiring meches to build robots that build solar farms,https://www.ycombinator.com/companies/charge-robotics/jobs/VFEVUkD-mechanical-engineer,
33396197,OneSignal (YC S11) Is Hiring a Data Analytics Lead,https://onesignal.com/careers/bf5f67d4-f4be-44a9-9677-2bbb5686009b,
33393664,"Tesorio Is Hiring a PM, Senior FE Engineer and Support Engineer",https://www.tesorio.com/careers#job-openings,
33387899,Promoted.ai (YC W21) is hiring a staff data engineer with Flink experience,https://www.ycombinator.com/companies/promoted/jobs/wc5X1S4-staff-data-engineer-flink,
33385859,Patterns (YC S21) is hiring to build a developer platform for data apps,https://www.patterns.app/,
33383286,"Svix, the Enterprise Ready Webhook Service (YC W21) Is Hiring (Remote)",https://www.svix.com/careers/,
33368460,Deepnote (YC S19) is hiring to build a better data science notebook (Europe),https://deepnote.com/join-us,
33363971,Jitx (YC S18) is hiring an application engineer to code PCBs,https://jobs.lever.co/jitxinc/3d62a65c-92c7-4996-82e3-0ff64e258d6b,
33360572,Pachyderm (YC W15) is hiring sales engineers and solutions architects,https://www.pachyderm.com/careers/#positions,
33356744,QuestDB (YC S20) Is Hiring a Core Database Engineer (Low Latency Java and C++),https://questdb.io/careers/core-database-engineer/,
