1,1,Iris-setosa
1,2,Iris-setosa
1,3,Iris-setosa
1,4,Iris-setosa
1,5,Iris-setosa
1,6,Iris-setosa
1,7,Iris-setosa
1,8,Iris-setosa
1,9,Iris-setosa
1,10,Iris-setosa
10,20,Iris-versicolor
10,21,Iris-versicolor
10,22,Iris-versicolor
10,23,Iris-versicolor
10,24,Iris-versicolor
10,25,Iris-versicolor
10,26,Iris-versicolor
10,27,Iris-versicolor
10,28,Iris-versicolor
10,29,Iris-versicolor
30,50,Iris-virginica
30,51,Iris-virginica
30,52,Iris-virginica
30,53,Iris-virginica
30,54,Iris-virginica
30,55,Iris-virginica
30,56,Iris-virginica
30,57,Iris-virginica
30,58,Iris-virginica
30,59,Iris-virginica
